 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure

 5050  -0.44176E+03   0.79640E+02  -0.52140E+03   0.53629E+00  -0.10786E+01
 5100  -0.44176E+03   0.70173E+02  -0.51194E+03   0.47254E+00  -0.76608E+00
 5150  -0.44176E+03   0.75324E+02  -0.51709E+03   0.50723E+00  -0.10456E+01
 5200  -0.44176E+03   0.88105E+02  -0.52987E+03   0.59330E+00  -0.15316E+01
 5250  -0.44176E+03   0.80792E+02  -0.52255E+03   0.54406E+00  -0.11853E+01
 5300  -0.44176E+03   0.80339E+02  -0.52210E+03   0.54100E+00  -0.11109E+01
 5350  -0.44176E+03   0.75688E+02  -0.51745E+03   0.50968E+00  -0.93100E+00
 5400  -0.44176E+03   0.80323E+02  -0.52209E+03   0.54089E+00  -0.11790E+01
 5450  -0.44176E+03   0.82063E+02  -0.52383E+03   0.55261E+00  -0.13697E+01
 5500  -0.44176E+03   0.77637E+02  -0.51940E+03   0.52281E+00  -0.12225E+01
 5550  -0.44176E+03   0.73263E+02  -0.51503E+03   0.49335E+00  -0.10838E+01
 5600  -0.44176E+03   0.76879E+02  -0.51864E+03   0.51771E+00  -0.13083E+01
 5650  -0.44176E+03   0.77050E+02  -0.51881E+03   0.51886E+00  -0.12955E+01
 5700  -0.44176E+03   0.70025E+02  -0.51179E+03   0.47155E+00  -0.93117E+00
 5750  -0.44176E+03   0.73544E+02  -0.51531E+03   0.49524E+00  -0.99746E+00
 5800  -0.44176E+03   0.76828E+02  -0.51859E+03   0.51736E+00  -0.11144E+01
 5850  -0.44176E+03   0.74163E+02  -0.51593E+03   0.49941E+00  -0.96823E+00
 5900  -0.44176E+03   0.74605E+02  -0.51637E+03   0.50239E+00  -0.94565E+00
 5950  -0.44176E+03   0.77463E+02  -0.51923E+03   0.52164E+00  -0.10281E+01
 6000  -0.44176E+03   0.71679E+02  -0.51344E+03   0.48269E+00  -0.78305E+00
 6050  -0.44176E+03   0.69492E+02  -0.51126E+03   0.46796E+00  -0.67144E+00
 6100  -0.44176E+03   0.67032E+02  -0.50880E+03   0.45140E+00  -0.60636E+00
 6150  -0.44176E+03   0.76885E+02  -0.51865E+03   0.51774E+00  -0.10249E+01
 6200  -0.44176E+03   0.84025E+02  -0.52579E+03   0.56582E+00  -0.13281E+01
 6250  -0.44176E+03   0.80920E+02  -0.52268E+03   0.54491E+00  -0.11859E+01
 6300  -0.44176E+03   0.74642E+02  -0.51641E+03   0.50264E+00  -0.92540E+00
 6350  -0.44176E+03   0.80627E+02  -0.52239E+03   0.54294E+00  -0.10857E+01
